R_AP4AH1
R_EX_ca2_e
R_EX_cl_e
R_EX_fe2_e
R_EX_k_e
R_EX_na1_e
R_EX_phe__L_e
R_EX_ribflv_e
R_FE2t
R_GALOR
R_ICDHyr
R_MDH
R_PHETA1
R_PHEtec
R_PMANM
R_UMPK
