R_26DPAi
R_2DHPFALDL
R_2HXMPt6
R_2S6HCCi
R_3A2OA
R_4ABZt
R_4HALDD
R_4HBCOAH
R_6PHBG_2
R_A2DC
R_A4GA
R_A4HBCT
R_A4PA
R_A53C
R_A5PNt
R_A6PAG
R_A6PAG2
R_AAAN
R_AACOAT
R_AACT
R_AB3CL
R_AB6PGH
R_ABFPT2
R_ABG4t2
R_ABTA
R_ABUTD
R_ACACCT
R_ACAPS
R_ACARP
R_ACBIPGT_2
R_ACCOAC
R_ACCOAS
R_ACEt
R_ACGAL6PI
R_ACGALpts_1
R_ACGAMK
R_ACGAMT
R_ACGApts
R_ACHBS
R_ACLDC
R_ACLS
R_ACM6PH
R_ACNAMt2
R_ACNML
R_ACNP
R_ACOAD1fr
R_ACTD_1
R_ACTNabc
R_ACt2r
R_ADCL
R_ADCPS1E
R_ADCS
R_ADCYRSE
R_ADCi
R_ADMDC
R_ADNt2
R_ADOCBLS1
R_ADOCBLS2_2
R_ADtr
R_AEPPYRTA
R_AGMT
R_AGPOP
R_AH5L
R_AHCYSNS
R_AHSERL
R_AHSERL2
R_AKGDH
R_AKGt
R_ALAALAP
R_ALAS
R_ALATA_D
R_ALATA_D2
R_ALATRS
R_ALAabc
R_ALAt4
R_ALCD19
R_ALCD19y
R_ALCD2x
R_ALMPC
R_ALPHNH
R_ALTRH
R_AM2Et
R_AMID_1
R_AMMQLT8_2
R_AMPTASECG
R_ANHMK
R_ANTDR
R_AP7MT
R_APCPT_1
R_APNPT
R_APRAUR
R_ARAI
R_ARBTpts
R_ARBt2r
R_ARGDC
R_ARGabc
R_ARNO
R_AROAT
R_AROH
R_ARSR
R_ASAD
R_ASNTRS
R_ASNabc
R_ASPCMY
R_ASPK
R_ASPO2
R_ASPO2y
R_ASPO5
R_ASPR
R_ASPTRS
R_ASPabc
R_ATPPRT
R_B2BO_copy1
R_B2BO_copy2
R_BACCL
R_BDH
R_BETALDHx
R_BGLA
R_BGLA1
R_BIOMASS__5
R_BMOC
R_BNOCA
R_BTCOARx
R_BTCR
R_BTNTe
R_BTS
R_BTS4E
R_BTS_nadph
R_BUP2
R_BUPN
R_BUTCT
R_BUTCT2
R_BUTH
R_BUTKr
R_C4HP
R_CA2abc
R_CAt6
R_CBIATE
R_CDCPO
R_CDPGH_2
R_CDPGt
R_CDPMEK
R_CELBpts
R_CELBt2
R_CELLBpts_2
R_CELLWALL
R_CG3P
R_CHLabc
R_CHOLD
R_CHOLD3
R_CHORM
R_CHORS
R_CHORt2
R_CHPHD
R_CHTBSH
R_CLGAL
R_CMH2
R_CNOR
R_CO1abc
R_CO2FO
R_COAO
R_COBALTt5
R_CODH_ACS
R_CODSCL4MT_1
R_CODSCL5BMT
R_CODSCL5DA
R_COMCOA
R_COabc
R_CP3S
R_CP7MT
R_CPC2MTE
R_CPC3MT
R_CPC6R
R_CPC8MM_2
R_CPPPGO2
R_CPS_1
R_CSND
R_CSNt2
R_CT6PT
R_CTPS2
R_CTPTHD
R_CYANST
R_CYRDAAT
R_CYRDAR2_2
R_CYSTL
R_CYSTRS
R_CYSabc
R_CYTD
R_CYTDK1
R_CYTDK2
R_CYTK2
R_CYTOM
R_Cuabc
R_D23APt
R_D3AIBT
R_D3CCR
R_D3OR
R_DACHpts
R_DACL
R_DADA
R_DADK
R_DADNt2
R_DAPAL_1
R_DAPDC
R_DAPE
R_DATCY
R_DATUP
R_DB4PS
R_DC6PH
R_DCMPDA
R_DCTCP
R_DCTPD
R_DCTUP
R_DCYTD
R_DCYTt2
R_DDDR
R_DDGLCNt2r
R_DDGLK
R_DDH
R_DDPA
R_DE3OX
R_DEC22H
R_DECCR
R_DEDACP1
R_DGK1
R_DGTCY
R_DGTUP
R_DH23t
R_DH35O
R_DH36M
R_DHAD2
R_DHBD
R_DHDPRx_r
R_DHDPRy
R_DHDPS
R_DHFR
R_DHFS
R_DHNAOT4
R_DHNCM
R_DHNPA2r
R_DHORD2
R_DHORTS
R_DHPD
R_DHPH
R_DHPM2
R_DHPPDA2
R_DHPS2
R_DHPS2_2
R_DHPt
R_DHQS
R_DHQTi
R_DHRG
R_DHRG2
R_DM1PE_2
R_DMATT
R_DMPPS
R_DMPPS_syn
R_DM_biomass_c
R_DNA_1
R_DNMPPA
R_DNTPPA
R_DODEC1
R_DODEC2
R_DOPH
R_DPR
R_DRBK
R_DRPA
R_DTBTt
R_DTMPK
R_DTPH_2
R_DTTGY
R_DTTUP
R_DURAD
R_DURAD2
R_DURIPP
R_DUTCP
R_DUTUP
R_DXPRIi
R_DXPS
R_ECOAH9ir
R_ESCHL
R_ESCULt
R_ESCUTt
R_ETHAAL
R_ETHAt
R_ETOHt
R_EX_23dappa_e
R_EX_2ddglcn_e
R_EX_2hxmp_e
R_EX_4abz_e
R_EX_AEP_e
R_EX_Glc_aD_e
R_EX_a5pn_e
R_EX_abg4_e
R_EX_ac_e
R_EX_acetone_e
R_EX_acgal_e
R_EX_acgam_e
R_EX_acnam_e
R_EX_ad_e
R_EX_adn_e
