R_ABTA
R_ACGS
R_ACONMT
R_ACP1_FMN
R_ADD
R_ADNCYC
R_ADOCBIAH
R_ADPT
R_AHMMPS
R_AHXDH
R_AKP1
R_AKSCAL
R_ALATRS
R_ALCD20y
R_ALCD2y
R_ALDD1
R_ALKP
R_AMAOTr
R_AOXSr
R_APPLP
R_ARGTRS
R_ASPTRS
R_ATRZCH
R_BACCL
R_BLAT
R_BTNt2i
R_BTS3r
R_CAT
R_CBIAT
R_CBIabc
R_CBL1HBIabc
R_CBL1abc
R_CBLAT2
R_CBLD
R_CMLDC
R_COCHL
R_CODH2r
R_COt
R_CSND
R_CYSTRS
R_Clt
R_DBTS
R_DHPM1
R_DHPM2
R_DIPS
R_DMAMT
R_DMAt
R_DMSt
R_DURIPP
R_ETHAt6
R_EX_4hphac_e
R_EX_btn_e
R_EX_ca2_e
R_EX_cbi_e
R_EX_cbl1_e
R_EX_cbl1hbi_e
R_EX_cd2_e
R_EX_cit_e
R_EX_cl_e
R_EX_co_e
R_EX_cu2_e
R_EX_dma_e
R_EX_dms_e
R_EX_etha_e
R_EX_fe2_e
R_EX_fe3_e
R_EX_fol_e
R_EX_glcn_e
R_EX_glyald_e
R_EX_glyb_e
R_EX_glyc_e
R_EX_ind3ac_e
R_EX_k_e
R_EX_mg2_e
R_EX_mma_e
R_EX_mn2_e
R_EX_mobd_e
R_EX_na1_e
R_EX_pac_e
R_EX_pro__L_e
R_EX_pyr_e
R_EX_ribflv_e
R_EX_s_e
R_EX_so4_e
R_EX_thm_e
R_EX_tma_e
R_EX_tsul_e
R_EX_unknown_cbl1deg_e
R_EX_zn2_e
R_F4H2O
R_FBA2
R_FCLPA
R_FE2abc
R_FE3abc
R_FEDCabc
R_FMETTRS
R_FOLR2
R_FOLt
R_G1PTT
R_G6PDH3
R_GALT
R_GDMANE
R_GLCNt2r
R_GLNTRAT
R_GLUDC
R_GLUTRS_Gln
R_GLYALDt
R_GLYBabc
R_GLYCt
R_GLYTRS
R_GMAND
R_GOFUCR
R_GTHOr
R_GUAD
R_GUAPRT
R_HCITS
R_HETZK
R_HEX7
R_HISDC
R_HISTRS
R_HMPK1
R_HPACt2r
R_HXPRT
R_ILETRS
R_IND3ACt2r
R_INS2D
R_IOR
R_IOR2
R_IOR3
R_LEUTRS
R_LYSAM
R_LYSTRS
R_MAN1PT2
R_MAN6PI
R_METTRS
R_MMAMT
R_MMAt
R_MNabc
R_MOBDabc
R_MPML
R_MTAP
R_MTCMMT
R_NBAHH_ir
R_NMNAT
R_NNDPR
R_NTRIR2x
R_NTRIR2y
R_OPAH
R_PACCOAL
R_PACCOAL2
R_PACCOAL3
R_PACt2r
R_PAPSR
R_PGLYCP
R_PHETRS
R_PMANM
R_PMPK
R_POR3
R_PPAKr
R_PROTRS
R_PROabc
R_PROt2r
R_PTHPS
R_PYRt2
R_QULNS
R_RBK
R_RIBFLVt2
R_SERTRS
R_SHCHD2
R_SHCHF
R_SO4t2
R_SPODM
R_SSALx
R_SSALy
R_SULabc
R_St
R_TDPDRE
R_TDPDRR
R_TDPGDH
R_THMabc
R_THRTRS
R_THZPSN
R_TMAMT
R_TMAt2
R_TMDK1
R_TMDPP
R_TMK
R_TMPK
R_TMPPP
R_TRPTA
R_TRPTRS
R_TSR
R_TSULabc
R_TYRTRS
R_UAG2E
R_UAG2EMA
R_UAGCVT
R_UAPGR
R_UDPG4E
R_UDPGD
R_UNK_CBL1DEGt
R_VALTRS
R_VOR
R_XPPT
R_YUMPS
R_ZNabc
